State,District,Year,ReportingYear,Season,Crop,Area,Production,ReportedYieldTonnesPerHectare,CropDataSource,SelectionRank,SelectionMethod,YieldTonnesPerHectare,HistoricalYieldBaseline,YieldAnomaly,FailureLikeEvent,Latitude,Longitude,ResolvedLocation,CoordinateSource,Rainfall,Temperature,WeatherAggregation,WeatherDataSource,OutcomeDefinition,ObservationStatus
Gujarat,Ahmadabad,2013,2013 - 2014,Whole Year,All Crops,116512.0,276281.0,2.37,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.3712664789892886,,,,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,955.3,26.54,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2014,2014 - 2015,Whole Year,All Crops,125434.0,336407.0,2.68,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.681944289427109,,,,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,778.9,27.23,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2015,2015 - 2016,Whole Year,All Crops,124285.0,323258.0,2.6,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.6009413847206018,,,,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,547.2,27.61,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2016,2016 - 2017,Whole Year,All Crops,147770.0,407564.0,2.76,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.7580970427014955,2.5513840510456665,0.08101994349737707,0,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,666.7,27.29,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2017,2017 - 2018,Whole Year,All Crops,151840.0,343029.0,2.26,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.2591477871443626,2.6030622989596237,-0.13211920127793897,0,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,1133.7,27.52,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2018,2018 - 2019,Whole Year,All Crops,123270.0,185009.0,1.5,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,1.5008436764825182,2.5342793965965713,-0.4077828677855777,1,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,779.2,27.64,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2019,2019 - 2020,Whole Year,All Crops,150096.0,328991.0,2.19,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.1918705361901716,2.360194836095217,-0.07131796804687807,0,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,1553.0,27.35,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2020,2020 - 2021,Whole Year,All Crops,164078.0,416234.0,2.54,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.5368056655980693,2.26218008544783,0.12139863749877966,0,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,1047.7,27.42,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2021,2021 - 2022,Whole Year,All Crops,161276.0,348879.0,2.16,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.163241895880354,2.2493529416233233,-0.03828258524908246,0,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,1027.8,27.6,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Gujarat,Ahmadabad,2022,2022 - 2023,Whole Year,All Crops,181822.0,518558.0,2.85,"DES, Ministry of Agriculture & Farmers Welfare",94,Top total DES-reported production across available reporting years,2.852009107808736,2.1303819122590952,0.3387313755327628,0,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,884.9,27.65,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
Uttar Pradesh,Allahabad,2013,2013 - 2014,Whole Year,All Crops,159525.0,420986.0,2.64,"DES, Ministry of Agriculture & Farmers Welfare",60,Top total DES-reported production across available reporting years,2.6389970224102806,,,,25.303092486865996,81.96136300049122,Allahabad,geoBoundaries India ADM2 centroid,1115.1,25.21,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API,Yield anomaly <= -20% vs preceding 5-year mean,Observed DES production + historical weather API
